1,1,1,6
2,2,4,5
3,2,3,5
4,11,1,2
5,11,3,2
6,11,4,1
7,11,6,1
8,11,7,1
9,12,1,1
10,12,3,1
11,12,4,1
12,12,6,1
13,12,8,1
14,13,1,2
15,13,2,2
16,13,3,2
17,13,4,1
18,13,5,1
19,14,1,1
20,14,2,1
21,16,1,1
22,17,1,1
23,18,1,1
24,18,3,1
25,18,4,1
26,18,5,1
27,18,6,1
28,19,2,5
29,20,1,1
30,20,2,1
31,20,3,1
32,20,4,1
33,20,5,1
34,21,1,1
35,22,1,1
36,23,1,1
37,24,1,1
38,25,1,1
39,25,2,1
41,26,2,1
42,27,1,1
43,27,2,5
44,28,1,1
45,28,2,5
46,30,6,1
47,30,1,1
48,30,3,1
50,32,3,1
51,33,1,1
52,34,1,20
53,35,1,1
54,35,3,1
55,36,1,1
56,36,3,1
